"ntree","test_Er","train_Er"
1,0.525,0.1875
2,0.5125,0.20625
3,0.5375,0.09375
4,0.5,0.084375
5,0.4625,0.034375
6,0.5625,0.0375
7,0.5125,0.03125
8,0.4625,0.0375
9,0.425,0.0125
10,0.425,0.01875
11,0.4625,0
12,0.5125,0.0125
13,0.55,0
14,0.5,0.00624999999999998
15,0.6,0
16,0.575,0.00312500000000004
17,0.5,0.00312500000000004
18,0.4875,0
19,0.525,0.00312500000000004
20,0.525,0.00312500000000004
21,0.5625,0
22,0.575,0.00312500000000004
23,0.4875,0
24,0.475,0
25,0.475,0
26,0.5125,0
27,0.55,0
28,0.4375,0
29,0.5125,0
30,0.5375,0
31,0.5125,0
32,0.5,0
33,0.6,0
34,0.4375,0
35,0.475,0
36,0.475,0
37,0.5375,0
38,0.4625,0
39,0.525,0
40,0.475,0
41,0.4875,0
42,0.525,0
43,0.5375,0
44,0.5,0
45,0.5,0
46,0.45,0
47,0.4625,0
48,0.4875,0
49,0.5375,0
50,0.4375,0
51,0.5125,0
52,0.55,0
53,0.4875,0
54,0.5625,0
55,0.4375,0
56,0.4875,0
57,0.5125,0
58,0.5125,0
59,0.425,0
60,0.375,0
61,0.5,0
62,0.5125,0
63,0.4875,0
64,0.425,0
65,0.55,0
66,0.5,0
67,0.4625,0
68,0.5,0
69,0.425,0
70,0.55,0
71,0.525,0
72,0.5125,0
73,0.45,0
74,0.5375,0
75,0.5375,0
76,0.55,0
77,0.5,0
78,0.5375,0
79,0.475,0
80,0.4875,0
81,0.475,0
82,0.5125,0
83,0.5,0
84,0.525,0
85,0.5375,0
86,0.4875,0
87,0.575,0
88,0.525,0
89,0.475,0
90,0.525,0
91,0.525,0
92,0.4875,0
93,0.45,0
94,0.5125,0
95,0.55,0
96,0.475,0
97,0.45,0
98,0.475,0
99,0.5125,0
100,0.5125,0
101,0.45,0
102,0.45,0
103,0.5125,0
104,0.4125,0
105,0.5125,0
106,0.55,0
107,0.5125,0
108,0.5625,0
109,0.4875,0
110,0.55,0
111,0.5,0
112,0.425,0
113,0.525,0
114,0.5375,0
115,0.5,0
116,0.5875,0
117,0.4875,0
118,0.5375,0
119,0.6,0
120,0.475,0
121,0.4625,0
122,0.5,0
123,0.4375,0
124,0.525,0
125,0.475,0
126,0.5125,0
127,0.525,0
128,0.5375,0
129,0.5125,0
130,0.4125,0
131,0.425,0
132,0.5125,0
133,0.4875,0
134,0.5875,0
135,0.4625,0
136,0.55,0
137,0.4625,0
138,0.4125,0
139,0.5125,0
140,0.4125,0
141,0.5125,0
142,0.4375,0
143,0.525,0
144,0.5,0
145,0.6375,0
146,0.5625,0
147,0.5,0
148,0.525,0
149,0.5125,0
150,0.4875,0
151,0.3875,0
152,0.425,0
153,0.45,0
154,0.4125,0
155,0.5125,0
156,0.5,0
157,0.6125,0
158,0.5,0
159,0.525,0
160,0.4875,0
161,0.5375,0
162,0.5625,0
163,0.625,0
164,0.45,0
165,0.4875,0
166,0.475,0
167,0.5125,0
168,0.5125,0
169,0.5,0
170,0.55,0
171,0.5,0
172,0.4875,0
173,0.6375,0
174,0.4625,0
175,0.5125,0
176,0.5375,0
177,0.45,0
178,0.475,0
179,0.4875,0
180,0.4625,0
181,0.4625,0
182,0.5,0
183,0.4625,0
184,0.4875,0
185,0.575,0
186,0.5625,0
187,0.4875,0
188,0.55,0
189,0.4375,0
190,0.45,0
191,0.475,0
192,0.4875,0
193,0.5375,0
194,0.5375,0
195,0.45,0
196,0.475,0
197,0.55,0
198,0.5625,0
199,0.5625,0
200,0.5375,0
