"ntree","test_Er","train_Er"
1,0.5625,0.2375
2,0.7125,0.175
3,0.65,0.065625
4,0.7875,0.103125
5,0.7625,0.059375
6,0.725,0.05625
7,0.7625,0.028125
8,0.825,0.021875
9,0.75,0.015625
10,0.8625,0.00937500000000002
11,0.7875,0.00624999999999998
12,0.8125,0.00312500000000004
13,0.875,0.015625
14,0.875,0.00312500000000004
15,0.85,0.00937500000000002
16,0.7875,0.00312500000000004
17,0.8625,0.00624999999999998
18,0.9125,0.00624999999999998
19,0.9,0.00312500000000004
20,0.9125,0
21,0.8625,0.00312500000000004
22,0.825,0.00624999999999998
23,0.8375,0.00312500000000004
24,0.85,0
25,0.9125,0
26,0.9375,0
27,0.8375,0
28,0.9375,0.00312500000000004
29,0.95,0
30,0.9375,0
31,0.95,0
32,0.9,0
33,0.925,0
34,0.9375,0
35,0.875,0
36,0.9125,0
37,0.925,0
38,0.9625,0
39,0.925,0
40,0.9,0
41,0.9625,0
42,0.925,0
43,0.9125,0
44,0.975,0
45,0.95,0
46,0.9375,0
47,0.95,0
48,0.9125,0
49,0.9375,0
50,0.9625,0
51,0.9875,0
52,0.9875,0
53,0.9625,0
54,0.9625,0
55,0.9875,0
56,0.9375,0
57,0.975,0
58,0.9875,0
59,0.975,0
60,0.975,0
61,0.9375,0
62,0.95,0
63,1,0
64,0.975,0
65,0.9875,0
66,0.9875,0
67,0.95,0
68,0.9875,0
69,0.9625,0
70,0.9875,0
71,0.9625,0
72,0.975,0
73,0.9875,0
74,0.9875,0
75,0.9375,0
76,0.975,0
77,0.975,0
78,0.975,0
79,0.975,0
80,0.9625,0
81,1,0
82,0.975,0
83,0.9875,0
84,0.9875,0
85,0.975,0
86,0.9875,0
87,0.9625,0
88,0.975,0
89,1,0
90,0.975,0
91,1,0
92,0.9875,0
93,1,0
94,0.975,0
95,0.9875,0
96,0.975,0
97,0.9625,0
98,1,0
99,0.9875,0
100,0.9875,0
101,1,0
102,1,0
103,0.975,0
104,0.9875,0
105,0.975,0
106,0.9875,0
107,0.975,0
108,1,0
109,0.975,0
110,0.9875,0
111,0.9875,0
112,1,0
113,0.975,0
114,1,0
115,0.9625,0
116,0.9875,0
117,0.9875,0
118,0.9875,0
119,1,0
120,0.9875,0
121,1,0
122,1,0
123,0.9875,0
124,1,0
125,1,0
126,0.9875,0
127,0.9875,0
128,1,0
129,0.9875,0
130,0.9875,0
131,1,0
132,1,0
133,0.9875,0
134,1,0
135,1,0
136,1,0
137,1,0
138,0.975,0
139,0.975,0
140,0.9875,0
141,1,0
142,0.9875,0
143,0.9875,0
144,1,0
145,0.9875,0
146,1,0
147,0.9875,0
148,1,0
149,1,0
150,1,0
151,1,0
152,0.9875,0
153,0.9875,0
154,1,0
155,1,0
156,1,0
157,1,0
158,1,0
159,1,0
160,0.975,0
161,1,0
162,0.9875,0
163,1,0
164,1,0
165,1,0
166,1,0
167,0.9875,0
168,1,0
169,1,0
170,0.9875,0
171,1,0
172,0.9875,0
173,0.9875,0
174,1,0
175,1,0
176,0.9875,0
177,1,0
178,1,0
179,0.9875,0
180,0.9875,0
181,0.975,0
182,1,0
183,0.9875,0
184,1,0
185,1,0
186,0.9875,0
187,0.9875,0
188,1,0
189,1,0
190,1,0
191,1,0
192,0.9875,0
193,0.9875,0
194,1,0
195,1,0
196,0.9875,0
197,1,0
198,1,0
199,1,0
200,0.9875,0
